,title,abstract,affiliations,authors,journal,date,keywords,url
10,Application of Machine Learning in Rheumatic Immune Diseases,"People are paying greater attention to their personal health as society develops and progresses, and rheumatic immunological disorders have become a serious concern that affects human health. As a result, research on a stable, trustworthy, and effective auxiliary diagnostic method for rheumatic immune disorders is critical. Machine learning overcomes the inefficiencies and volatility of human data processing, ushering in a revolution in artificial intelligence research. With the use of big data, machine learning-based application research on rheumatic immunological disorders has already demonstrated detection abilities that are on par with or better than those of medical professionals. Artificial intelligence systems are now being applied in the field of rheumatic immune disorders, with an emphasis on the identification of patient joint images. This article focuses on the use of machine learning algorithms in the diagnosis of rheumatic illnesses, as well as the practical implications of disease-assisted diagnosis systems and intelligent medical diagnosis. This article focuses on three common machine learning algorithms for research and debate: logistic regression, support vector machines, and adaptive boosting techniques. The three algorithms are used to build diagnostic models based on rheumatic illness data, and the performance of each model is assessed. According to a thorough analysis of the assessment data, the diagnostic model based on the limit gradient boosting method has the best resilience. This article presents machine learning's use and advancement in rheumatic immunological disorders, as well as new ideas for investigating more appropriate and efficient diagnostic and treatment techniques.","['1 Department of Rheumatology, Tianjin First Central Hospital, Tianjin 300192, China.']","Yuan Li, Linru Zhao, ",Journal of healthcare engineering,2022,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/35126955
11,Artificial Intelligence in Nuclear Cardiology,"Artificial intelligence (AI) encompasses a variety of computer algorithms that have a wide range of potential clinical applications in nuclear cardiology. This article will introduce core terminology and concepts for AI including classifications of AI as well as training and testing regimens. We will then highlight the potential role for AI to improve image registration and image quality. Next, we will discuss methods for AI-driven image attenuation correction. Finally, we will review advancements in machine learning and deep-learning applications for disease diagnosis and risk stratification, including efforts to improve clinical translation of this valuable technology with explainable AI models.","['1 Department of Cardiac Sciences, University of Calgary, GAA08, 3230 Hospital Drive Northwest, Calgary, Alberta T2N 2T9, Canada. Electronic address: robert.miller@albertahealthservices.ca.']","Robert J H Miller, ",Cardiology clinics,NO_DATE,Artificial intelligence; Deep learning; Machine learning; Nuclear cardiology.,https://pubmed.ncbi.nlm.nih.gov/37003673
12,Machine Learning-Based Anomaly Detection Techniques in Ophthalmology,NO_ABSTRACT,"['1 Department of Ophthalmology, University of Washington School of Medicine, Seattle.', '2 Karalis Johnson Retina Center, Seattle, Washington.']","Randy Y Lu, Yelena Bagdasarova, Aaron Y Lee, ",JAMA ophthalmology,2022,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/34967861
13,Deep learning a boon for biophotonics?,"This review covers original articles using deep learning in the biophotonic field published in the last years. In these years deep learning, which is a subset of machine learning mostly based on artificial neural network geometries, was applied to a number of biophotonic tasks and has achieved state-of-the-art performances. Therefore, deep learning in the biophotonic field is rapidly growing and it will be utilized in the next years to obtain real-time biophotonic decision-making systems and to analyze biophotonic data in general. In this contribution, we discuss the possibilities of deep learning in the biophotonic field including image classification, segmentation, registration, pseudostaining and resolution enhancement. Additionally, we discuss the potential use of deep learning for spectroscopic data including spectral data preprocessing and spectral classification. We conclude this review by addressing the potential applications and challenges of using deep learning for biophotonic data.","['1 Institute of Physical Chemistry and Abbe Center of Photonics, Friedrich-Schiller-University, Jena, Germany.', ""2 Leibniz Institute of Photonic Technology (Leibniz-IPHT), Member of Leibniz Research Alliance 'Health Technologies', Jena, Germany.""]","Pranita Pradhan, Shuxia Guo, Oleg Ryabchykov, Juergen Popp, Thomas W Bocklitz, ",Journal of biophotonics,NO_DATE,artificial neural networks; biophotonics; deep learning; spectroscopy.,https://pubmed.ncbi.nlm.nih.gov/32167235
14,A survey on advanced machine learning and deep learning techniques assisting in renewable energy generation,"The sustainability of the earth depends on renewable energy. Forecasting the output of renewable energy has a big impact on how we operate and manage our power networks. Accurate forecasting of renewable energy generation is crucial to ensuring grid dependability and permanence and reducing the risk and cost of the energy market and infrastructure. Although there are several approaches to forecasting solar radiation on a global scale, the two most common ones are machine learning algorithms and cloud pictures combined with physical models. The objective is to present a summary of machine learning-based techniques for solar irradiation forecasting in this context. Renewable energy is being used more and more in the world's energy grid. Numerous strategies, including hybrids, physical models, statistical approaches, and artificial intelligence techniques, have been developed to anticipate the use of renewable energy. This paper examines methods for forecasting renewable energy based on deep learning and machine learning. Review and analysis of deep learning and machine learning forecasts for renewable energy come first. The second paragraph describes metaheuristic optimization techniques for renewable energy. The third topic was the open issue of projecting renewable energy. I will wrap up with a few potential future job objectives.","['1 School of Electrical Engineering, Vellore Institute of Technology, Chennai, Tamil Nadu, 600 127, India. srirevathi.b@vit.ac.in.']","Sri Revathi B, ",Environmental science and pollution research international,NO_DATE,Deep learning; Machine learning; Metaheuristic optimization algorithms; Neural network; Power prediction; Renewable energy.,https://pubmed.ncbi.nlm.nih.gov/37552450
15,Supervised machine learning tools: a tutorial for clinicians,"In an increasingly data-driven world, artificial intelligence is expected to be a key tool for converting big data into tangible benefits and the healthcare domain is no exception to this. Machine learning aims to identify complex patterns in multi-dimensional data and use these uncovered patterns to classify new unseen cases or make data-driven predictions. In recent years, deep neural networks have shown to be capable of producing results that considerably exceed those of conventional machine learning methods for various classification and regression tasks. In this paper, we provide an accessible tutorial of the most important supervised machine learning concepts and methods, including deep learning, which are potentially the most relevant for the medical domain. We aim to take some of the mystery out of machine learning and depict how machine learning models can be useful for medical applications. Finally, this tutorial provides a few practical suggestions for how to properly design a machine learning model for a generic medical problem.","['1 Department of Radiology, University of Calgary, Calgary, AB, Canada.']","Lucas Lo Vercio, Kimberly Amador, Jordan J Bannister, Sebastian Crites, Alejandro Gutierrez, M Ethan MacDonald, Jasmine Moore, Pauline Mouches, Deepthi Rajashekar, Serena Schimert, Nagesh Subbanna, Anup Tuladhar, Nanjia Wang, Matthias Wilms, Anthony Winder, Nils D Forkert, ",Journal of neural engineering,2020,artificial intelligence; classification; deep learning; machine learning; regression.,https://pubmed.ncbi.nlm.nih.gov/33036008
16,Applications of machine learning in phylogenetics,"Machine learning has increasingly been applied to a wide range of questions in phylogenetic inference. Supervised machine learning approaches that rely on simulated training data have been used to infer tree topologies and branch lengths, to select substitution models, and to perform downstream inferences of introgression and diversification. Here, we review how researchers have used several promising machine learning approaches to make phylogenetic inferences. Despite the promise of these methods, several barriers prevent supervised machine learning from reaching its full potential in phylogenetics. We discuss these barriers and potential paths forward. In the future, we expect that the application of careful network designs and data encodings will allow supervised machine learning to accommodate the complex processes that continue to confound traditional phylogenetic methods.","['1 Department of Computer Science, Indiana University, Bloomington, IN 47405, USA.', '2 Department of Computer Science, Indiana University, Bloomington, IN 47405, USA; Department of Biology, Indiana University, Bloomington, IN 47405, USA.', '3 Department of Biological Sciences, Mississippi State University, Starkville, MS 39762, USA. Electronic address: msmith@biology.msstate.edu.']","Yu K Mo, Matthew W Hahn, Megan L Smith, ",Molecular phylogenetics and evolution,NO_DATE,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/38565358
17,From pixels to insights: Machine learning and deep learning for bioimage analysis,"Bioimage analysis plays a critical role in extracting information from biological images, enabling deeper insights into cellular structures and processes. The integration of machine learning and deep learning techniques has revolutionized the field, enabling the automated, reproducible, and accurate analysis of biological images. Here, we provide an overview of the history and principles of machine learning and deep learning in the context of bioimage analysis. We discuss the essential steps of the bioimage analysis workflow, emphasizing how machine learning and deep learning have improved preprocessing, segmentation, feature extraction, object tracking, and classification. We provide examples that showcase the application of machine learning and deep learning in bioimage analysis. We examine user-friendly software and tools that enable biologists to leverage these techniques without extensive computational expertise. This review is a resource for researchers seeking to incorporate machine learning and deep learning in their bioimage analysis workflows and enhance their research in this rapidly evolving field.","['1 Department of Chemistry and Biology, Toronto Metropolitan University, Toronto, Canada.']","Mahta Jan, Allie Spangaro, Michelle Lenartowicz, Mojca Mattiazzi Usaj, ","BioEssays : news and reviews in molecular, cellular and developmental biology",NO_DATE,bioimage analysis; bioimage analysis tools; deep learning; image processing; machine learning; microscopy.,https://pubmed.ncbi.nlm.nih.gov/38058114
18,Deep learning for risk assessment: all about automatic feature extraction,NO_ABSTRACT,"['1 MIT Critical Data, Laboratory for Computational Physiology, Harvard-MIT Health Sciences & Technology, Massachusetts Institute of Technology, Cambridge, MA 02139, USA; Department of Medicine, Hospital of the University of Pennsylvania, Philadelphia, PA 19104, USA. Electronic address: cvc@mit.edu.', '2 MIT Critical Data, Laboratory for Computational Physiology, Harvard-MIT Health Sciences & Technology, Massachusetts Institute of Technology, Cambridge, MA 02139, USA; Division of Pulmonary Critical Care and Sleep Medicine, Beth Israel Deaconess Medical Center, Boston, MA 02215, USA.']","Christopher V Cosgriff, Leo Anthony Celi, ",British journal of anaesthesia,NO_DATE,artificial neural network; deep learning; machine learning; outcome; perioperative; postoperative mortality; risk.,https://pubmed.ncbi.nlm.nih.gov/31813571
19,Self-Supervised Learning for Electroencephalography,"Decades of research have shown machine learning superiority in discovering highly nonlinear patterns embedded in electroencephalography (EEG) records compared with conventional statistical techniques. However, even the most advanced machine learning techniques require relatively large, labeled EEG repositories. EEG data collection and labeling are costly. Moreover, combining available datasets to achieve a large data volume is usually infeasible due to inconsistent experimental paradigms across trials. Self-supervised learning (SSL) solves these challenges because it enables learning from EEG records across trials with variable experimental paradigms, even when the trials explore different phenomena. It aggregates multiple EEG repositories to increase accuracy, reduce bias, and mitigate overfitting in machine learning training. In addition, SSL could be employed in situations where there is limited labeled training data, and manual labeling is costly. This article: 1) provides a brief introduction to SSL; 2) describes some SSL techniques employed in recent studies, including EEG; 3) proposes current and potential SSL techniques for future investigations in EEG studies; 4) discusses the cons and pros of different SSL techniques; and 5) proposes holistic implementation tips and potential future directions for EEG SSL practices.",NO_AFFILIATIONS,"Mohammad H Rafiei, Lynne V Gauthier, Hojjat Adeli, Daniel Takabi, ",IEEE transactions on neural networks and learning systems,NO_DATE,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/35867362
20,Multi-Label Active Learning-Based Machine Learning Model for Heart Disease Prediction,"The rapid growth and adaptation of medical information to identify significant health trends and help with timely preventive care have been recent hallmarks of the modern healthcare data system. Heart disease is the deadliest condition in the developed world. Cardiovascular disease and its complications, including dementia, can be averted with early detection. Further research in this area is needed to prevent strokes and heart attacks. An optimal machine learning model can help achieve this goal with a wealth of healthcare data on heart disease. Heart disease can be predicted and diagnosed using machine-learning-based systems. Active learning (AL) methods improve classification quality by incorporating user-expert feedback with sparsely labelled data. In this paper, five (MMC, Random, Adaptive, QUIRE, and AUDI) selection strategies for multi-label active learning were applied and used for reducing labelling costs by iteratively selecting the most relevant data to query their labels. The selection methods with a label ranking classifier have hyperparameters optimized by a grid search to implement predictive modelling in each scenario for the heart disease dataset. Experimental evaluation includes accuracy and F-score with/without hyperparameter optimization. Results show that the generalization of the learning model beyond the existing data for the optimized label ranking model uses the selection method versus others due to accuracy. However, the selection method was highlighted in regards to the F-score using optimized settings.","['1 Faculty of Computers and Information Sciences, Mansoura University, Mansoura 35516, Egypt.', '2 Faculty of Computer Science, New Mansoura University, Gamasa 35712, Egypt.', '3 Department of Computer Science, University of Tabuk, Tabuk 71491, Saudi Arabia.', '4 Faculty of Engineering, Delta University for Science and Technology, Gamasa 35712, Egypt.']","Ibrahim M El-Hasnony, Omar M Elzeki, Ali Alshehri, Hanaa Salem, ","Sensors (Basel, Switzerland)",2022,active learning; chronic diseases; data mining; heart disease; machine learning; multi-label classification.,https://pubmed.ncbi.nlm.nih.gov/35161928
21,Machine fault detection methods based on machine learning algorithms: A review,"Preventive identification of mechanical parts failures has always played a crucial role in machine maintenance. Over time, as the processing cycles are repeated, the machinery in the production system is subject to wear with a consequent loss of technical efficiency compared to optimal conditions. These conditions can, in some cases, lead to the breakage of the elements with consequent stoppage of the production process pending the replacement of the element. This situation entails a large loss of turnover on the part of the company. For this reason, it is crucial to be able to predict failures in advance to try to replace the element before its wear can cause a reduction in machine performance. Several systems have recently been developed for the preventive faults detection that use a combination of low-cost sensors and algorithms based on machine learning. In this work the different methodologies for the identification of the most common mechanical failures are examined and the most widely applied algorithms based on machine learning are analyzed: Support Vector Machine (SVM) solutions, Artificial Neural Network (ANN) algorithms, Convolutional Neural Network (CNN) model, Recurrent Neural Network (RNN) applications, and Deep Generative Systems. These topics have been described in detail and the works most appreciated by the scientific community have been reviewed to highlight the strengths in identifying faults and to outline the directions for future challenges.","['1 Department of Architecture and Industrial Design, Università degli Studi della Campania LuigiVanvitelli, Borgo San Lorenzo - 81031 Aversa (Ce), Italy.']","Giuseppe Ciaburro, ",Mathematical biosciences and engineering : MBE,2022,classification; deep learning; machine fault diagnosis; machine learning; regression; review.,https://pubmed.ncbi.nlm.nih.gov/36124599
22,NO_TITLE,NO_ABSTRACT,NO_AFFILIATIONS,NO_AUTHOR,NO_JOURNAL,NO_DATE,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/32456690
23,Basic of machine learning and deep learning in imaging for medical physicists,The manuscript aims at providing an overview of the published algorithms/automation tool for artificial intelligence applied to imaging for Healthcare. A PubMed search was performed using the query string to identify the proposed approaches (algorithms/automation tools) for artificial intelligence (machine and deep learning) in a 5-year period. The distribution of manuscript in the various disciplines and the investigated image types according to the AI approaches are presented. The limitation and opportunity of AI application in the clinical practice or in the next future research is discussed.,"['1 A.O. U. di Modena, Medical Physics Unit, Modena, Italy.', '2 IRCCS Azienda Ospedaliera Universitaria di Bologna, Medical Physics Department, Bologna, Italy.', '3 University of Modena and Reggio Emilia, Physics Department, Modena, Italy.', '4 IRCCS Azienda Ospedaliera Universitaria di Bologna, Medical Physics Department, Bologna, Italy. Electronic address: lidia.strigari@aosp.bo.it.']","Luigi Manco, Nicola Maffei, Silvia Strolin, Sara Vichi, Luca Bottazzi, Lidia Strigari, ",Physica medica : PM : an international journal devoted to the applications of physics to medicine and biology : official journal of the Italian Association of Biomedical Physics (AIFB),NO_DATE,Artificial intelligence; Imaging; Machine Learning; deep Learning.,https://pubmed.ncbi.nlm.nih.gov/33826964
24,NO_TITLE,NO_ABSTRACT,NO_AFFILIATIONS,NO_AUTHOR,NO_JOURNAL,NO_DATE,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/38032968
25,NO_TITLE,NO_ABSTRACT,NO_AFFILIATIONS,NO_AUTHOR,NO_JOURNAL,NO_DATE,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/32800297
26,NO_TITLE,NO_ABSTRACT,NO_AFFILIATIONS,NO_AUTHOR,NO_JOURNAL,NO_DATE,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/34537858
27,NO_TITLE,NO_ABSTRACT,NO_AFFILIATIONS,NO_AUTHOR,NO_JOURNAL,NO_DATE,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/36433236
28,NO_TITLE,NO_ABSTRACT,NO_AFFILIATIONS,NO_AUTHOR,NO_JOURNAL,NO_DATE,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/35336502
29,NO_TITLE,NO_ABSTRACT,NO_AFFILIATIONS,NO_AUTHOR,NO_JOURNAL,NO_DATE,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/34518686
30,NO_TITLE,NO_ABSTRACT,NO_AFFILIATIONS,NO_AUTHOR,NO_JOURNAL,NO_DATE,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/35408166
31,Use of systems with deep learning and machine learning for the detection and classification of malignant vs. benign spinal fractures with MRI: can deep/machine learning help us further for detection and characterization?,NO_ABSTRACT,"['1 Departamento de Automática, Universidad Central Marta Abreu de Las Villas, Villa Clara, Santa Clara, Cuba. mperez@uclv.edu.cu.']","Marlen Perez-Diaz, ",European radiology,NO_DATE,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/37233743
32,"Machine Learning, Deep Learning, and Closed Loop Devices-Anesthesia Delivery","With the tremendous volume of data captured during surgeries and procedures, critical care, and pain management, the field of anesthesiology is uniquely suited for the application of machine learning, neural networks, and closed loop technologies. In the past several years, this area has expanded immensely in both interest and clinical applications. This article provides an overview of the basic tenets of machine learning, neural networks, and closed loop devices, with emphasis on the clinical applications of these technologies.","['1 University of California Los Angeles, David Geffen School of Medicine, Los Angeles, CA, USA; Department of Anesthesiology and Perioperative Medicine, Ronald Reagan UCLA Medical Center, 757 Westwood Plaza, Suite 3325, Los Angeles, CA 90095-7403, USA. Electronic address: twingert@mednet.ucla.edu.', '2 Edwards Lifesciences, Irvine, CA, USA; Critical Care R&D, 1 Edwards Way, Irvine, CA 92614, USA.', '3 University of California Los Angeles, David Geffen School of Medicine, Los Angeles, CA, USA; Department of Anesthesiology and Perioperative Medicine, Ronald Reagan UCLA Medical Center, 757 Westwood Plaza, Suite 3325, Los Angeles, CA 90095-7403, USA.']","Theodora Wingert, Christine Lee, Maxime Cannesson, ",Anesthesiology clinics,NO_DATE,Artificial intelligence; Closed loop devices; Deep learning; Machine learning; Neural networks.,https://pubmed.ncbi.nlm.nih.gov/34392886
33,NO_TITLE,NO_ABSTRACT,NO_AFFILIATIONS,NO_AUTHOR,NO_JOURNAL,NO_DATE,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/34338485
